Date,Combined_Portfolio,ISONE
2019-04-20,-2781.0439999999994,-2781.0439999999994
2019-04-21,-538.7620000000001,-538.7620000000001
2019-04-22,-771.2599999999999,-771.2599999999999
2019-04-23,-324.45,-324.45
2019-04-24,398.0479999999999,398.0479999999999
2019-04-25,322.11199999999997,322.11199999999997
2019-04-26,778.666,778.666
2019-04-27,1589.28,1589.28
2019-04-28,101.35999999999996,101.35999999999996
2019-04-29,2273.908,2273.908
2019-04-30,2104.564,2104.564
2019-05-01,206.19200000000006,206.19200000000006
2019-05-02,-3773.4339999999997,-3773.4339999999997
2019-05-03,332.878,332.878
2019-05-04,42.587999999999994,42.587999999999994
2019-05-05,-880.2639999999999,-880.2639999999999
2019-05-06,1157.2540000000001,1157.2540000000001
2019-05-07,862.7919999999997,862.7919999999997
2019-05-08,435.17599999999993,435.17599999999993
2019-05-09,1180.7040000000004,1180.7040000000004
2019-05-10,-1125.0680000000002,-1125.0680000000002
2019-05-11,878.8080000000001,878.8080000000001
2019-05-12,-55.55199999999999,-55.55199999999999
2019-05-13,480.4100000000001,480.4100000000001
2019-05-14,-436.99599999999987,-436.99599999999987
2019-05-15,-840.1819999999998,-840.1819999999998
2018-02-14,1458.8419999999996,1458.8419999999996
2018-02-15,1550.388,1550.388
2018-02-16,-1787.73,-1787.73
2018-02-17,-154.18199999999996,-154.18199999999996
2018-02-18,-2368.1000000000004,-2368.1000000000004
2018-02-19,-178.54200000000006,-178.54200000000006
2018-02-20,859.936,859.936
2018-02-21,729.442,729.442
2018-02-22,2157.638,2157.638
2018-02-23,1587.544,1587.544
2018-02-24,-164.9620000000001,-164.9620000000001
2018-02-25,-194.79600000000008,-194.79600000000008
2018-02-26,479.58399999999995,479.58399999999995
2018-02-27,1210.7759999999996,1210.7759999999996
2018-02-28,321.91599999999994,321.91599999999994
2018-03-01,2405.1299999999997,2405.1299999999997
2018-03-02,615.0760000000002,615.0760000000002
2018-03-03,5853.974,5853.974
2018-03-04,-597.632,-597.632
2018-03-05,-361.4939999999999,-361.4939999999999
2018-03-06,-293.2299999999999,-293.2299999999999
2018-03-07,-76.80400000000003,-76.80400000000003
2018-03-08,-264.61399999999975,-264.61399999999975
2018-03-09,573.7619999999998,573.7619999999998
2018-03-10,-438.36799999999994,-438.36799999999994
2018-03-11,-506.40799999999996,-506.40799999999996
2018-03-12,724.5140000000001,724.5140000000001
2018-03-13,1494.5700000000002,1494.5700000000002
2018-03-14,-6863.528,-6863.528
2018-03-15,3723.6639999999998,3723.6639999999998
2018-03-16,3092.348,3092.348
2018-03-17,3239.8940000000002,3239.8940000000002
2018-03-18,5017.907999999999,5017.907999999999
2018-03-19,5211.6539999999995,5211.6539999999995
2018-03-20,1729.826,1729.826
2018-03-21,857.234,857.234
2018-03-22,235.05999999999983,235.05999999999983
2018-03-23,3293.457999999999,3293.457999999999
2018-03-24,1511.496,1511.496
2018-03-25,1906.184,1906.184
2018-03-26,-1674.82,-1674.82
2018-03-27,413.336,413.336
2018-03-28,1110.956,1110.956
2018-03-29,1351.504,1351.504
2018-03-30,-337.45599999999996,-337.45599999999996
2018-03-31,3213.896,3213.896
2018-04-01,7714.391999999999,7714.391999999999
2018-04-02,-2680.1180000000004,-2680.1180000000004
2018-04-03,-1883.8400000000001,-1883.8400000000001
2018-04-04,-5405.176,-5405.176
2018-04-05,5835.494,5835.494
2018-04-06,455.93800000000044,455.93800000000044
2018-04-07,-5053.496000000001,-5053.496000000001
2018-04-08,3349.598,3349.598
2018-04-09,8647.898,8647.898
2018-04-10,1357.3139999999999,1357.3139999999999
2018-04-11,-1294.8460000000002,-1294.8460000000002
